"url","creation-date","id",,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com","09-01-2002",0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/formulaire.php","02-02-2007",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat.php","02-08-2003",2,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/radios.php?station=2","08-09-2012",3,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum","07-07-2004",4,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/radio.jpg","09-08-2012",5,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat","26-10-2002",6,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/radio?","25-09-2012",7,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/rencontres","15-02-2012",8,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/cafe-debat.php","09-02-2006",9,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/mag","01-01-2012",10,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/radio","16-03-2009",11,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum?utm_source=header_forum&utm_medium=header&utm_campaign=header_services","16-09-2012",12,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum?","13-12-2012",13,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/sondages","06-01-2012",14,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/","09-01-2002",15,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/magazines","10-03-2012",16,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/radio?utm_source=header_radio&utm_medium=header&utm_campaign=header_services","16-09-2012",17,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat.ph","27-11-2003",18,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/article-agenda-590.html","06-10-2008",19,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/deluser.php3?L=danish","21-05-2003",20,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/%D9%85%D9%82%D8%A7%D9%84%D8%A8-%D9%88%D8%B7%D8%B1%D8%A7%D8%A6%D9%81-%D8%A7%D9%84%D9%85%D9%84%D9%83-%D8%A7%D9%84%D8%B1%D8%A7%D8%AD%D9%84-%D8%A7%D9%","09-03-2014",21,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/radio/index.html","03-05-2012",22,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/rss.html","20-04-2009",23,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/index.php?L=dutch","17-11-2002",24,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/rss","01-12-2010",25,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/%D8%AF%D8%B9%D8%A7%D8%A1-%D8%A7%D9%84%D9%83%D8%B1%D8%A8-%D9%88%D8%A7%D9%84%D8%AD%D8%B2%D9%86-%D9%88%D8%A7%D9%84%2","05-12-2013",26,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/edituser.php3?L=french_canadian","21-05-2003",27,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/Actualits-Marocaines-2","04-01-2007",28,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/tutorial_popup.php3?L=french_canadian&Ver=L","21-05-2003",29,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/index-55.html","22-01-2009",30,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/index.php","23-07-2009",31,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/chat/register.php3?L=english","21-05-2003",32,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yabiladi.com/forum/index-64.html","29-01-2009",33,,,,,,,,,,,,,,,,,,,,,,,,,,,
