"user","thread-id","first-msg"
"issYabiladi2010","1130|1003","20110629.0"
"Mfree","920|1010","20110217.0"
"amassint'","977|990|820|1155|1158|1103|1145|1171|1082","20070114.0"
"Waniyazwanaman","1175|992|947|789|880|830|1138|934|1033|1066|775|1137","20100905.0"
"ma-casablanca","1163|1008|1094|860|1060|1104|854|782|1110|803|1049|979|833|1038|992|824|885|1055|1115|963|1005|809|1041|857|859|974|858|816|938|1015|1074|940|1103|826|892|1126|906|1114|903|1137|1152|754|1169|1176","20070427.0"
"oulafe",744,"20111229.0"
"engi",942,"20090711.0"
"MEJENLO","980|760|955|768|1113|1151","20110203.0"
"sakki","1097|834|748|803|1109|866|965|900|959|1049|1175|789|740|993|975|786|756|963|1043|948|869|850|822|981|855|1157|774|825|1033|1015|1013|1103|870|970|1047|966|950|828|1184|996|1077|976|958|799|823|1016|1014|1192|826|890|769|759|806|906|1114|841|829","20051024.0"
"MarocaineFiére","857|1074|1047|828|1184|1141","20101116.0"
"ouldabbas","980|815|760|955|985|1023|853|920|1010|1087|1192|1133|1062|1018|1135","20110203.0"
"ento","1107|758|1067|779|861|1070|1061|1034|976|823|1071|1166|769|1048|737|941|973|915","20110102.0"
"Ghiwani0","1074|1071","20110121.0"
"Tamassint'","860|840|983|1148|965|1090|1065|939|761|756|1021|948|1170|867|857|1138|969|758|825|827|861|927|1120|813|767|929|1070|924|896|905|826|769|999|801|759|1073|906|945|1048|1150|1064|904|1050|973|1152|1153|829|1139|915|1030|1098|1176|817|791","20090504.0"
"boutrioult1","1097|1012|1178|1104|1116|794|998|1009|745|874|914|881|741|886|1134|840|1144|965|900|740|761|743|944|1055|1021|948|1005|1170|867|809|857|974|808|891|825|1067|1074|1143|1120|970|844|1070|1075|924|958|931|982|1072|1185|972|1166|871|769|1066|787|1154|1048|1064|904|1027|911|1152|971|1153|829|838","20051024.0"
"S  belamri","1008|851|986|840|756|869|783|1032|1074|940|1131|970|1047|996|1058|1127|796|890|892|1152","20070625.0"
"li_ben_barri","851|930","20090110.0"
"ig-zag","863|992|947|926|1055|938|969|1033|1013|1131|760|795|853|920|821|1151|966|1022|1184|890|1018|1179|1114|1152|971|754","20090311.0"
"lola.","837|840|959|997|967|1093|1129|777|1158|1115|1043|738|948|1041|850|1180|855|785|848|878|1157|1183|883|1162|1032|792|894|1138|825|1013|960|812|1131|870|1029|795|821|966|1022|987|843|1046|746|804|1070|749|751|884|1034|1066|1182|1079|1137|1173","20040916.0"
"soulafe","1008|1076|825|1033|1143|812","20070625.0"
"abib75","983|849|869|905|892","20100709.0"
"babelweb","849|894|825|827|759","20101020.0"
"Abdalghafor",920,"20110217.0"
"walid_said","825|1015|1013","20110115.0"
"jokeur","920|1151|1095","20110217.0"
"bdalghafor",980,"20110203.0"
"Chti'sem","1101|1012|1106|781|994|755|1060|1146|1042|998|1009|818|914|750|873|782|1099|1147|803|886|908|1134|840|959|1140|1065|939|926|1158|1005|869|867|809|974|981|783|808|878|938|1183|1107|1032|825|946|1103|870|1022|843|804|767|1077|929|751|924|1058|1114|841|1173","20081024.0"
"uldabbas","1118|1113|1123|922|1004|1126","20110207.0"
"Ali_ben_barri","1008|820|1155|1096|1101|834|1106|1094|913|994|755|1189|909|1060|1178|1052|968|998|764|782|1147|803|965|778","20070625.0"
"nonymatica",850,"20101117.0"
"Hamza","977|1052|919|1158|974|848|1157|774|1131|870|760|920|832|1071|1072|1185|1014|1003|864|972|1133|826|1062|1179|999|759|1004|906|744|1026|737|941|817|791","20070114.0"
"aamirr","837|1163|1187|887|886|1148|780|930|900|833|992|824|956|1007|947|885|789|880|761|1035|926|1043|785|938|1183|1076|925|969|1067|827|1015|1054|1047|795|966|950|987|843|1141|958|787|1137","20040916.0"
"ola.","1039|1035","20040707.0"
"casainfo1","908|1140|1007|876|944|756|948|869|809|857|859|822|855|848|938|1183|797|825|940|1054|1077|1114|903|1137|1173|744","20100508.0"
"ouloulou4","743|771|763|1083|1169|747","20101023.0"
"kouilivefr",780,"20100719.0"
"edbenali","1090|900|934","20100818.0"
"jimileouf","985|768|1092","20110215.0"
"outrioult1","1096|1101|814|1052|919|910|764|1187|908|1109|997|1129|830|981|1141|790|1016|1182|1150|1139|1098","20080808.0"
"abde12","1157|1183|1107|1068|1054|921|815|1118|853|920|1113|1123|1095|844|1087|767|1061|1133|1062|922|1018|1179|1135|1004|906|1048|1171|973|971|1153|829|915|1030","20110101.0"
"M_S","1164|967|1038|992|947|761|743|944|809|1041|825|960|844|929|1075|790|982","20100701.0"
"MissYabiladi2010","1163|1008|1096|1101|814|851|748|781|860|913|994|1189|879|909|1146|1104|1042|1020|986|782|1099|1036|1110|803|876|1005|891|816|902|825|1083|964|920|1046|1075|868|753|931|982|1071|933|916|1159|871|1004|1073|1048|1150|1171|1139|754|1169|838|747|1082|1098","20070427.0"
"Bengi","837|1155|1063|863|1106|879|998|893|1085|750|1036|1147|803|741|836|983|780|1174|967|1129|992|885|939|975|761|1081|1035|1021|1005|1170|857|974|981|848|878|1183|883|1138|774|827|1074|870|1046|1077|776|976|799|753|1016|1185|1014|1003|1126|1150|1171|941|829|1139|838|747","20040916.0"
"narbonne","1007|849|825|861","20100926.0"
"EJENLO",1092,"20110218.0"
"it.2","812|815|844|1133|1062|1135","20110126.0"
"xor111","760|920","20110213.0"
"angelo","1008|820|1155|860|1177|919|1104|998|1005|974|981|855|858|827|870|1046","20070625.0"
"mzmomo","1138|825","20110110.0"
"l Gitano","834|748|1093|786|738|948|891|1068|746|832|958|799|1014|801","20090228.0"
"HANANAOU","1177|902|1162|1032|825|870|795|1022|987|1108|868|1127|1026","20090508.0"
"amirr","741|866|960|964|1154|1079","20100405.0"
"heera",1108,"20110513.0"
"bouloulou4","1039|956|830|756|1043|948|869|809|857|981|855|848|878|902|1157|1183|883|1162|797|1032|1076|792|894|1138|1067|827|1194|1015|779|1068|927|811|828|843|1046|804|1070|751|884|924|896|1058|1061|976|972|1159|1125|871|1111|1145|1126|945|1066|1182|787|1154|1079|841|911|737|1152|971|915|1082|817","20040707.0"
"okouilivefr","1163|1174|866|1049|770|1093|1065|1081|1021|850|822|974|1032|825|1033|1015|1054|964|1029|843","20070427.0"
"or111","921|955|985|1023|1010|1087","20110203.0"
"zl95","1097|1148|1140|967|756|1077|1185|916|906|1066","20051024.0"
"**DoLcEvItA**","1008|774|969|1074|940","20070625.0"
"free",1095,"20110222.0"
"a-casablanca","1063|879|1146|794|745|881|887|965|777|944|1043|855|808|797|1032|825|827|1194|870|970|950|1046|767|868|982|852|972|1159|1192|1125|871|1111|999|759|945|787|904|1027|1050|911|829|817","20090126.0"
"miawwwwww","825|1068|960","20110115.0"
"sheera","990|1008|876|926|1158|857|1107|825|1068|927|1054|966|811|1184|843|1141|746|749|1034|976|958|823|931|1130|864|852|890|1111|1145|1150|1027|1050|829|1030|1082","20070519.0"
"habib75","1008|814|1012|851|1063|834|863|1106|1094|860|913|1177|994|755|1189|879|909|1060|1146|1178|919|942|1104|1042|968|1116|1009|745|910|818|854|1156|764|1020|914|1085|873|986|1099|881|803|887|836|1134|1109|1144|1164|1148|930|866|965|959|1049|770|979|1140|833|1038|1129|956|885|880|975|1035|743|1021|1005|809|857|859|771|974|1180|855|816|878|1157|1183|1107|1162|1138|774|1015|779|940|870|767|832|1061|1108|868|976|753|931|1072|1130|1185|933|864|852|972|999|1145|1154|1173|744|1064|904|911","20070625.0"
"azl95","1039|977|820|1096|814|1063|863|748|913|755|909|1052|942|794|998|910|914|1099|803|887|908|836|1134|1109|983|780|930|961|965|1090|959|1129|956|1007|885|939|880|975|1081|786|777|830|1021|738|809|857|771|981|855|783|848|878|1183|883|825|827|946|1194|1015|861|927|1046|767|929|1070|751|776|753|852|1192|1125|769|892|1182|775|841|903|744|1026|904|971|829|1139","20040707.0"
"  belamri","1012|1106|781|1094|860|913|1177|994|755|909|1060|1178|1104|818|1020|874|914|750|873|782|886|1144|959|1175|824|789|740|993|880|975|876|1115|963|1005|1170|867|809|857|822|974|816|1076|894|925|1138|946|1143|843|804|751|896|826|806|775|841|903|1173|1064|1153|1030|1176","20090102.0"
"wasmen","977|1189|1143|1068|861|1108","20070114.0"
"Nabuchodonosor II","1097|1187|1148|780|961|965|959|997|1006|1093|1129|1007|789|939|740|993|1081|1035|777|926|1158|902|1157|1183|1107|1032|758|763|825|946|1013|861|927|1120|1077|1166|801|941|838|747","20051024.0"
"aniyazwanaman","1163|803|1049|833|1006|1065|939|878|1157|1183|883|792|774|1120|1054","20070427.0"
"Sipalamaimechose","815|760|1023|768|920|1092|1113|1123|1151|1095|950|1010","20110206.0"
"telejojo",825,"20110115.0"
"Zarrouk42",825,"20110115.0"
"hti'sem","1189|968|1116|893|1085|1110|770|979|1038|885|1041|859|1180|858|902|1025|1015|778|1029|987|884|1026","20090519.0"
"zig-zag","781|879|1156|750|965|993|876|857|902|827|870|985|1023|945|1064|791","20090424.0"
"cit.2","921|980|1118|760|955|853|920|1123|1087|823|922|1018|1179","20110203.0"
"medbenali","1008|965|1088|825","20070625.0"
"Anonymatica","785|902|1157|825|1022|813|945|744|1150","20110101.0"
"El Gitano","1063|1106|942|968|854|1020|874|1140|1088|1006|956|939|880|1081|830|1158|756|867|1180|878|1157|1107|969|1074|1120|1047|950|843|813|751|776|753|1185|1003|972","20090126.0"
"lahsenobe_19977","825|827","20110115.0"
"okeur","1047|828|996","20110214.0"
"jemila75",956,"20100926.0"
"sey746","908|1015","20100508.0"
"Mamaghatini","968|1116|794|893|1143|921|778|1118|760|955|985|1023|1092|1151|1082","20090721.0"
"Marredelacorruption","990|1157|1183|883|925|774|934|969|758|763|825|1083|946|1194","20070519.0"
